/home/lucas_rayder7/autoresearch/TestCLI/train.py:251: UserWarning: Argument(s) 'var_limit' are not valid for transform GaussNoise
  A.GaussNoise(var_limit=(5.0, 15.0), p=0.3),
Data: xView2 directory already exists at content/data/xview2_jpeg
Metadata: Normalization statistics already cached at content/data/dataset_stats.json
Engine starting on: cuda. Configuration: {'in_channels': 6, 'f1': 32, 'f2': 64, 'f3': 128, 'f4': 256, 'f5': 512}

Step 00234 (20.9%) | Smooth Loss: 2.52209 | Img/sec: 20 | Elapsed: 188s
Step 00235 (21.0%) | Smooth Loss: 2.60286 | Img/sec: 20 | Elapsed: 189s
Step 00236 (21.1%) | Smooth Loss: 2.57890 | Img/sec: 20 | Elapsed: 190s
Step 00237 (21.2%) | Smooth Loss: 2.69431 | Img/sec: 20 | Elapsed: 191s
Step 00238 (21.3%) | Smooth Loss: 2.67096 | Img/sec: 20 | Elapsed: 191s
Step 00239 (21.4%) | Smooth Loss: 2.64419 | Img/sec: 20 | Elapsed: 192s
Step 00240 (21.4%) | Smooth Loss: 2.69977 | Img/sec: 20 | Elapsed: 193s
Step 00241 (21.5%) | Smooth Loss: 2.71701 | Img/sec: 20 | Elapsed: 194s
Step 00242 (21.6%) | Smooth Loss: 2.74582 | Img/sec: 20 | Elapsed: 195s
Step 00243 (21.7%) | Smooth Loss: 2.69498 | Img/sec: 20 | Elapsed: 195s
Step 00244 (21.8%) | Smooth Loss: 2.68160 | Img/sec: 20 | Elapsed: 196s
Step 00245 (21.9%) | Smooth Loss: 2.69759 | Img/sec: 20 | Elapsed: 197s
Step 00246 (22.0%) | Smooth Loss: 2.75808 | Img/sec: 20 | Elapsed: 198s
Step 00247 (22.0%) | Smooth Loss: 2.74629 | Img/sec: 20 | Elapsed: 198s
Step 00248 (22.1%) | Smooth Loss: 2.74065 | Img/sec: 20 | Elapsed: 199s
Step 00249 (22.2%) | Smooth Loss: 2.75497 | Img/sec: 20 | Elapsed: 200s
[Step 00250] Validation Metrics -> Loc F1: 0.3180 | Dmg F1: 0.2453 | Final Score: 0.2671

Step 00250 (22.3%) | Smooth Loss: 2.74575 | Img/sec: 20 | Elapsed: 201s
